/* DATA DESCRIPTION:							
Citation:	Herbert	" Timothy D; Peterson"	" Laura C; Lawrence"	" Kira T; Liu"	 Zhonghui (2017): Plio-Pleistocene tropical alkenone SST reconstructions for ODP Site 117-722. PANGAEA	 https://doi.org/10.1594/PANGAEA.874749	 
	In supplement to: Herbert	 TD et al. (2010): Tropical Ocean Temperatures Over the Past 3.5 Million Years. Science	 328(5985)	 1530-1534	 https://doi.org/10.1126/science.1185435		
Other version:	Plio-Pleistocene Tropical Alkenone SST Reconstructions (URI: https://www.ncdc.noaa.gov/paleo/study/10493)						
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)						
Coverage:	LATITUDE: 16.621800 * LONGITUDE: 59.795300						
	DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00						
	MINIMUM DEPTH	 sediment/rock: 0.040 m * MAXIMUM DEPTH	 sediment/rock: 101.520 m				
Event(s):	"117-722 * LATITUDE: 16.621800 * LONGITUDE: 59.795300 * DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00 * ELEVATION: -2033.5 m * Penetration: 845.6 m * Recovery: 611.8 m * LOCATION: Arabian Sea * CAMPAIGN: Leg117 (URI: https://doi.org/10.2973/odp.proc.ir.117.1989) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE) * COMMENT: 88 cores; 845.1 m cored; 0 m drilled; 72.4% recovery"						
Parameter(s):	DEPTH	 sediment/rock [m] (Depth) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * COMMENT: mcd			
	AGE [ka BP] (Age) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)				
	Alkenone	 unsaturation index UK'37 (UK'37) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)			
	Sea surface temperature	 annual mean [¡C] (SST (1-12)) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * METHOD: SST	 from UK'37		
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)						
Size:	3360 data points						
*/							
Depth [m]	Age [ka BP]	UK'37	SST (1-12) [¡C]		
84.78	2697.72	0.974	27.51		
84.83	2698.91	0.971	27.4		
84.89	2700.34	0.97	27.39		
84.95	2701.77	0.959	27.06		
85.01	2703.21	0.947	26.71		
85.07	2704.64	0.95	26.79		
85.14	2706.31	0.931	26.24		
85.19	2707.5	0.918	25.84		
85.26	2710.52	0.922	25.98		
85.31	2712.67	0.923	26		
85.38	2715.69	0.933	26.28		
85.43	2717.85	0.94	26.49		
85.49	2720.44	0.947	26.71		
85.56	2723.45	0.955	26.95		
85.62	2726.04	0.958	27.03		
85.68	2728.63	0.97	27.39		
85.73	2730.78	0.97	27.39		
85.79	2733.37	0.969	27.35		
85.845	2735.74	0.969	27.34		
85.91	2738.54	0.968	27.33		
85.98	2741.56	0.971	27.41		
86.03	2743.72	0.97	27.38		
86.09	2746.31	0.975	27.54		
86.16	2749.32	0.98	27.68		
86.22	2751.91	0.984	27.8		
86.33	2756.65	0.988	27.92		
86.39	2759.24	0.987	27.87		
86.45	2761.83	0.982	27.74		
86.51	2764.41	0.974	27.5		
86.58	2767.43	0.965	27.24		
86.62	2769.16	0.961	27.13		
86.69	2772.18	0.96	27.1		
86.74	2774.19	0.956	26.98		
86.82	2776.51	0.968	27.33		
86.88	2778.24	0.967	27.29		
86.93	2779.69	0.972	27.45		
86.99	2781.43	0.975	27.52		
87.06	2783.45	0.973	27.48		
87.11	2784.9	0.971	27.41		
87.17	2786.64	0.969	27.34		
87.23	2788.38	0.969	27.34		
87.29	2790.11	0.965	27.23		
87.35	2791.85	0.97	27.37		
87.41	2793.59	0.971	27.4		
87.47	2795.32	0.973	27.47		
87.52	2796.77	0.972	27.45		
87.59	2798.8	0.974	27.49		
87.65	2800.54	0.97	27.38		
87.69	2801.69	0.965	27.24		
87.76	2803.72	0.96	27.09		
87.83	2808.43	0.958	27.02		
87.88	2812.56	0.958	27.03		
87.94	2817.52	0.964	27.2		
88.01	2823.3	0.971	27.42		
88.07	2825.58	0.971	27.42		
88.13	2827.86	0.974	27.49		
88.18	2829.76	0.974	27.51		
88.24	2832.03	0.976	27.55		
88.3	2834.31	0.978	27.62		
88.36	2836.59	0.976	27.56		
88.43	2839.25	0.977	27.59		
88.49	2841.53	0.969	27.36		
88.54	2843.43	0.962	27.15		
88.6	2845.71	0.96	27.08		
88.67	2848.36	0.96	27.1		
88.72	2850.26	0.963	27.17		
88.78	2852.54	0.969	27.34		
88.84	2854.82	0.971	27.41		
88.9	2857.1	0.97	27.37		
88.96	2859.38	0.965	27.24		
89.02	2861.65	0.964	27.21		
89.08	2863.93	0.966	27.26		
89.14	2866.21	0.967	27.29		
89.2	2868.49	0.967	27.29		
89.27	2871.15	0.971	27.4		
89.32	2873.05	0.971	27.42		
89.38	2875.33	0.968	27.31		
89.45	2877.98	0.955	26.94		
89.5	2879.88	0.95	26.78		
89.56	2882.16	0.948	26.73		
89.62	2884.44	0.949	26.75		
89.68	2886.72	0.957	27		
89.74	2889	0.963	27.18		
89.81	2891.66	0.97	27.39		
89.86	2893.55	0.977	27.58		
89.92	2895.83	0.973	27.48		
89.98	2898.11	0.97	27.38		
90.04	2900.39	0.955	26.94		
90.11	2903.05	0.946	26.68		
90.16	2904.95	0.945	26.65		
90.23	2907.6	0.945	26.64		
90.28	2909.5	0.948	26.73		
90.34	2911.78	0.951	26.82		
90.4	2914.06	0.959	27.06		
90.47	2916.72	0.952	26.84		
90.53	2919	0.951	26.83		
90.58	2920.9	0.95	26.8		
90.64	2923.17	0.943	26.59		
90.7	2925.45	0.941	26.52		
90.76	2927.7	0.933	26.28		
90.83	2930.21	0.945	26.64		
90.88	2932	0.953	26.89		
90.94	2934.15	0.963	27.18		
91	2936.3	0.97	27.37		
91.06	2938.45	0.971	27.41		
91.12	2940.6	0.978	27.61		
91.18	2942.75	0.977	27.58		
91.24	2944.9	0.974	27.5		
91.3	2947.05	0.967	27.29		
91.36	2949.2	0.96	27.1		
91.44	2952.07	0.961	27.13		
91.49	2953.86	0.959	27.06		
91.54	2955.65	0.959	27.06		
91.59	2957.44	0.961	27.13		
91.67	2960.31	0.971	27.41		
91.73	2962.46	0.975	27.53		
91.78	2964.25	0.975	27.53		
91.84	2966.4	0.975	27.52		
91.9	2968.55	0.968	27.33		
91.96	2970.7	0.961	27.11		
92.03	2973.21	0.953	26.87		
92.08	2975	0.943	26.59		
92.14	2978.17	0.949	26.76		
92.2	2981.33	0.952	26.85		
92.26	2984.5	0.958	27.02		
92.32	2987.67	0.966	27.25		
92.38	2990.83	0.97	27.37		
92.44	2994	0.973	27.47		
92.5	2997.17	0.973	27.46		
92.56	3000.33	0.966	27.27		
92.63	3004.03	0.958	27.02		
92.69	3007.19	0.939	26.47		
92.74	3009.83	0.943	26.59		
92.8	3013	0.932	26.26		
92.86	3015.6	0.938	26.44		
92.93	3018.63	0.946	26.68		
92.99	3021.22	0.951	26.82		
93.04	3023.39	0.957	27.01		
93.1	3025.99	0.966	27.25		
93.16	3028.58	0.969	27.34		
93.23	3031.61	0.968	27.33		
93.29	3034.21	0.956	26.98		
93.34	3036.37	0.951	26.82		
93.4	3038.97	0.944	26.63		
93.47	3042	0.943	26.58		
93.53	3043.73	0.944	26.63		
93.58	3045.18	0.949	26.77		
93.64	3046.92	0.954	26.92		
93.7	3048.65	0.963	27.17		
93.76	3050.39	0.967	27.3		
93.83	3052.41	0.971	27.41		
93.88	3053.86	0.978	27.62		
93.95	3055.88	0.977	27.58		
94	3057.33	0.974	27.5		
94.06	3059.06	0.966	27.26		
94.13	3061.08	0.952	26.85		
94.18	3062.53	0.956	26.98		
94.24	3064.27	0.952	26.86		
94.3	3066	0.948	26.73		
94.35	3067.17	0.951	26.82		
94.43	3069.05	0.96	27.09		
94.48	3070.22	0.97	27.37		
94.54	3071.63	0.977	27.58		
94.59	3072.8	0.976	27.57		
94.67	3074.68	0.969	27.34		
94.73	3076.08	0.963	27.17		
94.78	3077.26	0.96	27.1		
94.84	3078.66	0.961	27.13		
94.9	3080.07	0.964	27.21		
94.96	3081.48	0.961	27.13		
95.02	3082.88	0.966	27.26		
95.08	3084.29	0.972	27.45		
95.15	3085.93	0.981	27.72		
95.2	3087.1	0.983	27.75		
95.27	3088.74	0.986	27.86		
95.34	3090.39	0.98	27.69		
95.44	3092.73	0.976	27.56		
95.5	3094.14	0.976	27.56		
95.56	3095.54	0.968	27.31		
95.63	3097.19	0.965	27.24		
95.69	3098.59	0.965	27.23		
95.75	3100	0.963	27.18		
95.81	3101.52	0.962	27.14		
95.86	3102.79	0.963	27.18		
95.93	3104.56	0.967	27.3		
95.99	3106.08	0.973	27.46		
96.04	3107.35	0.968	27.31		
96.1	3108.87	0.97	27.39		
96.17	3110.64	0.984	27.78		
96.23	3112.16	0.983	27.75		
96.29	3113.68	0.973	27.48		
96.34	3114.95	0.974	27.49		
96.41	3116.72	0.966	27.25		
96.48	3118.49	0.966	27.27		
96.53	3119.76	0.979	27.64		
96.58	3121.03	0.964	27.22		
96.64	3122.55	0.96	27.08		
96.7	3124.07	0.964	27.2		
96.76	3125.59	0.967	27.3		
96.82	3127.11	0.969	27.34		
96.89	3128.88	0.973	27.47		
96.96	3130.65	0.977	27.6		
97.01	3131.92	0.969	27.35		
97.07	3133.44	0.962	27.15		
97.13	3134.96	0.954	26.91		
97.19	3136.48	0.943	26.6		
97.25	3138	0.954	26.91		
97.49	3147.82	0.954	26.9		
97.52	3149.05	0.973	27.46		
97.57	3151.09	0.973	27.47		
97.61	3152.73	0.973	27.46		
97.65	3154.36	0.973	27.48		
97.69	3156	0.973	27.48		
97.73	3157.97	0.975	27.53		
97.77	3159.94	0.973	27.46		
97.81	3161.91	0.967	27.28		
97.86	3164.37	0.968	27.32		
97.9	3166.34	0.965	27.24		
97.93	3167.82	0.964	27.21		
97.97	3169.78	0.963	27.19		
98.02	3172.25	0.958	27.04		
98.06	3174.22	0.955	26.93		
98.1	3176.18	0.958	27.02		
98.13	3177.66	0.946	26.67		
98.17	3179.63	0.948	26.73		
98.21	3181.6	0.955	26.95		
98.3	3186.03	0.955	26.93		
98.34	3188	0.966	27.27		
98.38	3189.93	0.967	27.3		
98.41	3191.39	0.968	27.32		
98.46	3193.8	0.967	27.29		
98.49	3195.26	0.969	27.36		
98.53	3197.19	0.972	27.45		
98.57	3199.13	0.968	27.32		
98.61	3201.06	0.967	27.28		
98.65	3203	0.965	27.24		
98.7	3205.41	0.962	27.16		
98.74	3207.35	0.961	27.12		
98.78	3209.28	0.961	27.11		
98.81	3210.73	0.959	27.06		
98.85	3212.67	0.96	27.09		
98.88	3214.12	0.961	27.12		
98.93	3216.54	0.963	27.19		
98.99	3219.44	0.963	27.17		
99.05	3222.34	0.958	27.03		
99.11	3225.25	0.97	27.37		
99.18	3228.63	0.975	27.54		
99.24	3231.53	0.973	27.46		
99.29	3233.95	0.961	27.13		
99.36	3237.34	0.957	26.99		
99.48	3243.14	0.965	27.24		
99.53	3245.56	0.954	26.9		
99.59	3248.47	0.956	26.98		
99.65	3251.37	0.96	27.08		
99.71	3254.27	0.967	27.28		
99.79	3258.14	0.961	27.13		
99.84	3260.56	0.959	27.07		
99.89	3262.98	0.954	26.91		
99.95	3265.88	0.952	26.84		
100.02	3269.27	0.954	26.91		
100.07	3271.68	0.958	27.02		
100.13	3274.59	0.95	26.8		
100.2	3277.97	0.948	26.73		
100.26	3280.87	0.939	26.47		
100.32	3283.78	0.949	26.76		
100.38	3286.68	0.938	26.45		
100.43	3289.1	0.941	26.54		
100.49	3292	0.939	26.46		
100.55	3294.24	0.94	26.49		
100.61	3296.48	0.951	26.81		
100.66	3298.35	0.953	26.88		
100.72	3300.59	0.918	25.84		
100.79	3303.21	0.929	26.18		
100.84	3305.08	0.952	26.86		
100.91	3307.69	0.964	27.22		
100.97	3309.93	0.971	27.4		
101.03	3312.18	0.937	26.4		
101.09	3314.42	0.933	26.3		
101.15	3316.66	0.94	26.5		
101.22	3319.27	0.961	27.13		
101.27	3321.14	0.94	26.49		
101.34	3323.76	0.917	25.83		
101.4	3326	0.919	25.87		
101.45	3327.87	0.908	25.56		
101.52	3330.48	0.928	26.16		
